Black Panther, 2018, (0%), (1%), (1%), (4%), (4%), (19%), (15%), (30%), (8%), (18%)
Guardians of the Galaxy, 2014, (0%), (1%), (0%), (3%), (3%), (16%), (15%), (36%), (10%), (16%)
Dead Poets Society, 1989, (0%), (0%), (0%), (1%), (1%), (7%), (9%), (27%), (15%), (39%)
Arrival, 2016, (0%), (1%), (0%), (2%), (2%), (10%), (11%), (31%), (17%), (26%)
Blade Runner 2049, 2017, (0%), (1%), (0%), (2%), (2%), (10%), (11%), (29%), (18%), (27%)
The Perks of Being a Wallflower, 2012, (0%), (1%), (1%), (3%), (3%), (13%), (13%), (28%), (11%), (29%)
The Shawshank Redemption, 1994, (0%), (0%), (0%), (1%), (1%), (4%), (5%), (21%), (18%), (51%)
The Lord of the Rings: The Fellowship of the Ring, 2001, (0%), (1%), (0%), (1%), (1%), (7%), (7%), (24%), (16%), (44%)
Past Lives, 2023, (0%), (0%), (0%), (1%), (2%), (7%), (11%), (30%), (21%), (28%)
Don’t Look Up, 2021, (1%), (4%), (3%), (11%), (10%), (26%), (17%), (18%), (3%), (5%)
Coco, 2017, (0%), (0%), (0%), (2%), (2%), (10%), (10%), (31%), (13%), (32%)
Titanic, 1997, (0%), (1%), (1%), (4%), (3%), (17%), (14%), (28%), (9%), (23%)
